Player,Tm,Age,Pos,G,GS,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,FQC,GWD,Rush_Att,Rush_Yds,Rush_TD,Tgt,Rec,Rec_Yds,Rec_TD,Fmb,Pro_Bowl
Julian Edelman,NWE,33,WR,16,13,2,2,47,1,0,0,0,8,27,0,153,100,1117,6,3,FALSE
Courtland Sutton,DEN,24,WR,16,14,1,1,38,0,0,0,0,3,17,0,124,72,1112,6,2,TRUE
Emmanuel Sanders,2TM,32,WR,17,16,1,1,35,1,0,0,0,0,0,0,97,66,869,5,0,FALSE
John Brown,BUF,29,WR,15,15,1,1,28,1,0,0,0,2,7,0,115,72,1060,6,0,FALSE
Alex Erickson,CIN,27,WR,16,6,1,1,26,0,0,0,0,5,33,0,78,43,529,0,4,FALSE
Odell Beckham Jr.,CLE,27,WR,16,15,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
Albert Wilson,MIA,27,WR,13,4,1,2,20,0,0,0,0,5,45,0,62,43,351,1,0,FALSE
Danny Amendola,DET,34,WR,15,10,1,1,19,1,0,0,0,0,0,0,97,62,678,1,0,FALSE
Dante Pettis,SFO,24,WR,11,4,1,1,16,0,0,0,0,0,0,0,24,11,109,2,0,FALSE
Kelvin Harmon,WAS,23,WR,16,8,1,1,11,0,0,0,0,0,0,0,44,30,365,0,0,FALSE
DeAndre Hopkins,HOU,27,WR,15,15,1,2,6,1,1,0,0,2,18,0,150,104,1165,7,0,TRUE
Randall Cobb,DAL,29,WR,15,6,0,1,0,0,0,0,0,3,11,0,83,55,828,3,2,FALSE
Stefon Diggs,MIN,26,WR,15,15,0,1,0,0,0,0,0,5,61,0,94,63,1130,6,4,FALSE
Josh Gordon,2TM,28,WR,11,7,0,1,0,0,1,0,0,1,1,0,47,27,426,1,0,FALSE
Cooper Kupp,LAR,26,WR,16,14,0,1,0,0,0,0,0,2,4,0,134,94,1161,10,3,FALSE
Zach Pascal,IND,25,WR,16,13,0,1,0,0,0,0,0,2,16,0,72,41,607,5,0,FALSE
Steven Sims,WAS,22,WR,16,2,0,1,0,0,0,0,0,9,85,1,56,34,310,4,1,FALSE
Deebo Samuel,SFO,23,WR,15,11,0,0,0,0,0,0,0,14,159,3,81,57,802,3,2,FALSE
Curtis Samuel,CAR,23,WR,16,15,0,0,0,0,0,0,0,19,130,1,105,54,627,6,0,FALSE
Robert Woods,LAR,27,WR,15,15,0,0,0,0,0,0,0,17,115,1,139,90,1134,2,0,FALSE
Cordarrelle Patterson,CHI,28,WR,16,4,0,0,0,0,0,0,0,17,103,0,17,11,83,0,0,FALSE
Christian Kirk,ARI,23,WR,13,13,0,0,0,0,0,0,0,10,93,0,108,68,709,3,0,FALSE
Trevor Davis,3TM,26,WR,14,4,0,0,0,0,0,0,0,4,73,1,11,8,111,0,3,FALSE
Sterling Shepard,NYG,26,WR,10,10,0,0,0,0,0,0,0,6,72,0,83,57,576,3,0,FALSE
A.J. Brown,TEN,22,WR,16,11,0,0,0,0,0,0,0,3,60,1,84,52,1051,8,1,FALSE
Brandin Cooks,LAR,26,WR,14,14,0,0,0,0,0,0,0,6,52,0,72,42,583,2,0,FALSE
Vyncint Smith,NYJ,23,WR,13,4,0,0,0,0,0,0,0,3,52,1,31,17,225,0,1,FALSE
Isaiah McKenzie,BUF,24,WR,15,8,0,0,0,0,0,0,0,8,49,0,39,27,254,1,0,FALSE
N'Keal Harry,NWE,22,WR,7,5,0,0,0,0,0,0,0,5,49,0,24,12,105,2,0,FALSE
Tavon Austin,DAL,29,WR,14,0,0,0,0,0,0,0,0,6,47,1,24,13,177,1,1,FALSE
Diontae Johnson,PIT,23,WR,16,12,0,0,0,0,0,0,0,4,41,0,92,59,680,5,5,FALSE
D.J. Moore,CAR,22,WR,15,15,0,0,0,0,0,0,0,6,40,0,135,87,1175,4,2,FALSE
Parris Campbell,IND,22,WR,7,3,0,0,0,0,0,0,0,4,34,0,24,18,127,1,3,FALSE
Calvin Ridley,ATL,25,WR,13,10,0,0,0,0,0,0,0,2,34,0,93,63,866,7,0,FALSE
Deonte Harris,NOR,22,WR,14,1,0,0,0,0,0,0,0,4,31,0,6,6,24,0,3,FALSE
Robert Foster,BUF,25,WR,13,2,0,0,0,0,0,0,0,2,29,0,18,3,64,0,0,FALSE
Dede Westbrook,JAX,26,WR,15,11,0,0,0,0,0,0,0,5,27,0,101,66,660,3,1,FALSE
David Moore,SEA,24,WR,14,1,0,0,0,0,0,0,0,3,25,0,34,17,301,2,2,FALSE
Tyreek Hill,KAN,25,WR,12,12,0,0,0,0,0,0,0,8,23,0,89,58,860,7,0,TRUE
Josh Reynolds,LAR,24,WR,16,2,0,0,0,0,0,0,0,5,23,0,43,21,326,1,0,FALSE
Tyler Boyd,CIN,25,WR,16,15,0,0,0,0,0,0,0,4,23,0,148,90,1046,5,2,FALSE
Phillip Dorsett,NWE,26,WR,14,4,0,0,0,0,0,0,0,3,21,0,54,29,397,5,0,FALSE
Allen Lazard,GNB,24,WR,16,3,0,0,0,0,0,0,0,1,21,0,52,35,477,3,0,FALSE
Taylor Gabriel,CHI,28,WR,9,7,0,0,0,0,0,0,0,3,20,0,48,29,353,4,0,FALSE
DJ Chark,JAX,23,WR,15,14,0,0,0,0,0,0,0,2,20,0,118,73,1008,8,0,TRUE
Bennie Fowler,NYG,28,WR,8,2,0,0,0,0,0,0,0,1,20,0,36,23,193,0,0,FALSE
Ted Ginn,NOR,34,WR,16,9,0,0,0,0,0,0,0,3,18,0,56,30,421,2,0,FALSE
Chester Rogers,IND,25,WR,12,6,0,0,0,0,0,0,0,1,18,0,28,16,179,2,2,FALSE
Mecole Hardman,KAN,21,WR,16,5,0,0,0,0,0,0,0,4,17,0,41,26,538,6,2,FALSE
Keenan Allen,LAC,27,WR,16,16,0,0,0,0,0,0,0,3,16,0,149,104,1199,6,0,TRUE
Scott Miller,TAM,22,WR,10,2,0,0,0,0,0,0,0,2,16,0,26,13,200,1,0,FALSE
Breshad Perriman,TAM,26,WR,14,4,0,0,0,0,0,0,0,2,16,0,69,36,645,6,0,FALSE
Golden Tate,NYG,31,WR,11,10,0,0,0,0,0,0,0,1,16,0,85,49,676,6,1,FALSE
Andy Isabella,ARI,23,WR,15,1,0,0,0,0,0,0,0,4,15,0,13,9,189,1,0,FALSE
