Player,Tm,Age,Pos,G,GS,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,FQC,GWD,Rush_Att,Rush_Yds,Rush_TD,Tgt,Rec,Rec_Yds,Rec_TD,Fmb,Pro_Bowl
Marquise Goodwin,SFO,29,WR,9,6,0,0,0,0,0,0,0,1,15,0,21,12,186,1,0,FALSE
Keke Coutee,HOU,22,WR,9,4,0,0,0,0,0,0,0,2,14,1,36,22,254,0,1,FALSE
Russell Gage,ATL,23,WR,16,4,0,0,0,0,0,0,0,4,12,0,74,49,446,1,1,FALSE
Sammy Watkins,KAN,26,WR,14,13,0,0,0,0,0,0,0,2,12,0,90,52,673,3,2,FALSE
Mohamed Sanu,2TM,30,WR,15,12,0,0,0,0,0,0,0,3,11,0,89,59,520,2,0,FALSE
D.K. Metcalf,SEA,22,WR,16,15,0,0,0,0,0,0,0,2,11,0,100,58,900,7,3,FALSE
Isaiah Ford,MIA,23,WR,8,0,0,0,0,0,0,0,0,1,11,0,35,23,244,0,0,FALSE
John Franklin,TAM,25,WR,1,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,FALSE
Odell Beckham,CLE,27,WR,16,15,0,0,0,0,0,0,0,3,10,0,133,74,1035,4,1,FALSE
Jarvis Landry,CLE,27,WR,16,16,0,0,0,0,0,0,0,1,10,0,138,83,1174,6,0,TRUE
Marquez Valdes-Scantling,GNB,25,WR,16,10,0,0,0,0,0,0,0,2,9,0,56,26,452,2,0,FALSE
Johnny Holton,PIT,28,WR,16,3,0,0,0,0,0,0,0,1,9,0,15,3,21,0,0,FALSE
Chris Godwin,TAM,23,WR,14,14,0,0,0,0,0,0,0,1,8,0,121,86,1333,9,0,TRUE
Nelson Agholor,PHI,26,WR,11,10,0,0,0,0,0,0,0,2,7,0,69,39,363,3,2,FALSE
Geronimo Allison,GNB,25,WR,16,6,0,0,0,0,0,0,0,1,7,0,55,34,287,2,2,FALSE
Marvin Hall,DET,26,WR,9,0,0,0,0,0,0,0,0,1,7,0,11,7,261,1,0,FALSE
Andre Roberts,BUF,31,WR,13,0,0,0,0,0,0,0,0,1,7,0,7,3,20,0,1,FALSE
Adam Thielen,MIN,29,WR,10,10,0,0,0,0,0,0,0,4,6,1,48,30,418,6,0,FALSE
Diontae Spencer,DEN,27,WR,16,2,0,0,0,0,0,0,0,3,6,0,8,6,31,0,3,FALSE
Keelan Cole,JAX,26,WR,16,1,0,0,0,0,0,0,0,1,6,0,35,24,361,3,0,FALSE
Amari Cooper,DAL,25,WR,16,16,0,0,0,0,0,0,0,1,6,0,119,79,1189,8,0,TRUE
Olabisi Johnson,MIN,22,WR,16,6,0,0,0,0,0,0,0,1,6,0,45,31,294,3,0,FALSE
Jakeem Grant,MIA,27,WR,10,2,0,0,0,0,0,0,0,4,5,1,33,19,164,0,2,FALSE
Antonio Brown,NWE,31,WR,1,0,0,0,0,0,0,0,0,1,5,0,8,4,56,1,0,FALSE
Da'Mari Scott,NYG,24,WR,5,2,0,0,0,0,0,0,0,1,5,0,3,2,22,0,0,FALSE
Greg Ward,PHI,24,WR,7,3,0,0,0,0,0,0,0,1,5,0,40,28,254,1,0,FALSE
John Ross,CIN,25,WR,8,8,0,0,0,0,0,0,0,3,4,0,56,28,506,3,1,FALSE
Robby Anderson,NYJ,26,WR,16,15,0,0,0,0,0,0,0,1,4,0,96,52,779,5,1,FALSE
Jamison Crowder,NYJ,26,WR,16,12,0,0,0,0,0,0,0,1,4,0,122,78,833,6,0,FALSE
KeeSean Johnson,ARI,23,WR,10,4,0,0,0,0,0,0,0,1,3,0,42,21,187,1,1,FALSE
Zay Jones,2TM,24,WR,15,9,0,0,0,0,0,0,0,1,3,0,45,27,216,0,0,FALSE
Willie Snead,BAL,27,WR,16,11,0,0,0,0,0,0,0,2,2,0,46,31,339,5,0,FALSE
Pharoh Cooper,2TM,24,WR,13,1,0,0,0,0,0,0,0,1,2,0,33,25,243,1,0,FALSE
Alshon Jeffery,PHI,29,WR,10,10,0,0,0,0,0,0,0,1,2,1,73,43,490,4,0,FALSE
Allen Robinson,CHI,26,WR,16,15,0,0,0,0,0,0,0,1,2,0,154,98,1147,7,0,FALSE
Mike Williams,LAC,25,WR,15,15,0,0,0,0,0,0,0,1,2,0,90,49,1001,2,0,FALSE
Adam Humphries,TEN,26,WR,12,3,0,0,0,0,0,0,0,1,1,0,47,37,374,2,1,FALSE
Marqise Lee,JAX,28,WR,6,1,0,0,0,0,0,0,0,1,1,0,4,3,18,0,0,FALSE
Marvin Jones,DET,29,WR,13,11,0,0,0,0,0,0,0,2,0,0,91,62,779,9,0,FALSE
Chris Moore,BAL,26,WR,14,1,0,0,0,0,0,0,0,1,0,0,5,3,21,0,0,FALSE
Paul Richardson,WAS,27,WR,10,6,0,0,0,0,0,0,0,1,0,0,42,28,245,2,0,FALSE
Richie James,SFO,24,WR,16,1,0,0,0,0,0,0,0,2,-1,0,10,6,165,1,1,FALSE
Anthony Miller,CHI,25,WR,16,7,0,0,0,0,0,0,0,1,-1,0,85,52,656,2,1,FALSE
Julio Jones,ATL,30,WR,15,15,0,0,0,0,0,0,0,2,-3,0,157,99,1394,6,1,TRUE
Tyler Lockett,SEA,27,WR,16,16,0,0,0,0,0,0,0,4,-5,0,110,82,1057,8,1,FALSE
Kalif Raymond,TEN,25,WR,8,1,0,0,0,0,0,0,0,1,-5,0,12,9,170,1,1,FALSE
Jarius Wright,CAR,30,WR,16,9,0,0,0,0,0,0,0,1,-7,0,58,28,296,0,0,FALSE
Michael Thomas,NOR,26,WR,16,15,0,0,0,0,0,0,0,1,-9,0,185,149,1725,9,1,TRUE
DeVante Parker,MIA,26,WR,16,14,0,0,0,0,0,0,0,0,0,0,128,72,1202,9,0,FALSE
Kenny Golladay,DET,26,WR,16,16,0,0,0,0,0,0,0,0,0,0,116,65,1190,11,1,TRUE
Mike Evans,TAM,26,WR,13,13,0,0,0,0,0,0,0,0,0,0,118,67,1157,8,0,TRUE
Michael Gallup,DAL,23,WR,14,12,0,0,0,0,0,0,0,0,0,0,113,66,1107,6,0,FALSE
Davante Adams,GNB,27,WR,12,12,0,0,0,0,0,0,0,0,0,0,127,83,997,5,2,TRUE
Terry McLaurin,WAS,24,WR,14,14,0,0,0,0,0,0,0,0,0,0,93,58,919,7,0,FALSE
Larry Fitzgerald,ARI,36,WR,16,16,0,0,0,0,0,0,0,0,0,0,109,75,804,4,1,FALSE
Cole Beasley,BUF,30,WR,15,10,0,0,0,0,0,0,0,0,0,0,106,67,778,6,0,FALSE
Chris Conley,JAX,27,WR,16,14,0,0,0,0,0,0,0,0,0,0,90,47,775,5,0,FALSE
Darius Slayton,NYG,22,WR,14,9,0,0,0,0,0,0,0,0,0,0,84,48,740,8,0,FALSE
James Washington,PIT,23,WR,15,10,0,0,0,0,0,0,0,0,0,0,80,44,735,3,1,FALSE
Will Fuller,HOU,25,WR,11,11,0,0,0,0,0,0,0,0,0,0,71,49,670,3,1,FALSE
Tyrell Williams,OAK,27,WR,14,12,0,0,0,0,0,0,0,0,0,0,64,42,651,6,0,FALSE
Hunter Renfrow,OAK,24,WR,13,4,0,0,0,0,0,0,0,0,0,0,71,49,605,4,1,FALSE
Corey Davis,TEN,24,WR,15,11,0,0,0,0,0,0,0,0,0,0,69,43,601,2,1,FALSE
Marquise Brown,BAL,22,WR,14,11,0,0,0,0,0,0,0,0,0,0,71,46,584,7,0,FALSE
Auden Tate,CIN,22,WR,12,10,0,0,0,0,0,0,0,0,0,0,80,40,575,1,1,FALSE
Kenny Stills,HOU,27,WR,13,5,0,0,0,0,0,0,0,0,0,0,55,40,561,4,0,FALSE
JuJu Smith-Schuster,PIT,23,WR,12,12,0,0,0,0,0,0,0,0,0,0,70,42,552,3,1,FALSE
T.Y. Hilton,IND,30,WR,10,10,0,0,0,0,0,0,0,0,0,0,68,45,501,5,0,FALSE
Demarcus Robinson,KAN,25,WR,16,10,0,0,0,0,0,0,0,0,0,0,55,32,449,4,0,FALSE
Demaryius Thomas,NYJ,32,WR,11,10,0,0,0,0,0,0,0,0,0,0,58,36,433,1,0,FALSE
Preston Williams,MIA,22,WR,8,7,0,0,0,0,0,0,0,0,0,0,60,32,428,3,2,FALSE
Allen Hurns,MIA,28,WR,14,7,0,0,0,0,0,0,0,0,0,0,47,32,416,2,1,FALSE
Damiere Byrd,ARI,26,WR,11,3,0,0,0,0,0,0,0,0,0,0,46,32,359,1,1,FALSE
Jakobi Meyers,NWE,23,WR,15,1,0,0,0,0,0,0,0,0,0,0,41,26,359,0,0,FALSE
Kendrick Bourne,SFO,24,WR,16,0,0,0,0,0,0,0,0,0,0,0,44,30,358,5,0,FALSE
Tajae Sharpe,TEN,25,WR,15,6,0,0,0,0,0,0,0,0,0,0,35,25,329,4,0,FALSE
Cody Latimer,NYG,27,WR,15,10,0,0,0,0,0,0,0,0,0,0,42,24,300,2,0,FALSE
DaeSean Hamilton,DEN,24,WR,16,2,0,0,0,0,0,0,0,0,0,0,52,28,297,1,0,FALSE
Marcus Johnson,IND,25,WR,8,6,0,0,0,0,0,0,0,0,0,0,33,17,277,2,0,FALSE
Seth Roberts,BAL,28,WR,16,0,0,0,0,0,0,0,0,0,0,0,35,21,271,2,0,FALSE
Malik Turner,SEA,23,WR,15,3,0,0,0,0,0,0,0,0,0,0,22,15,245,1,0,FALSE
Tre'Quan Smith,NOR,23,WR,11,6,0,0,0,0,0,0,0,0,0,0,25,18,234,5,0,FALSE
Jaron Brown,SEA,29,WR,14,4,0,0,0,0,0,0,0,0,0,0,28,16,220,2,1,FALSE
Jake Kumerow,GNB,27,WR,14,4,0,0,0,0,0,0,0,0,0,0,21,12,219,1,0,FALSE
Tim Patrick,DEN,26,WR,8,2,0,0,0,0,0,0,0,0,0,0,31,16,218,0,0,FALSE
Damion Ratley,CLE,24,WR,13,3,0,0,0,0,0,0,0,0,0,0,24,12,200,1,0,FALSE
Trey Quinn,WAS,24,WR,12,6,0,0,0,0,0,0,0,0,0,0,47,26,198,1,1,FALSE
Miles Boykin,BAL,23,WR,16,11,0,0,0,0,0,0,0,0,0,0,22,13,198,3,0,FALSE
Justin Hardy,ATL,28,WR,16,1,0,0,0,0,0,0,0,0,0,0,26,19,195,0,0,FALSE
Javon Wims,CHI,25,WR,16,6,0,0,0,0,0,0,0,0,0,0,39,18,186,1,0,FALSE
Laquon Treadwell,MIN,24,WR,13,1,0,0,0,0,0,0,0,0,0,0,16,9,184,1,0,FALSE
Dontrelle Inman,2TM,30,WR,7,1,0,0,0,0,0,0,0,0,0,0,21,12,181,0,0,FALSE
Byron Pringle,KAN,26,WR,16,0,0,0,0,0,0,0,0,0,0,0,16,12,170,1,0,FALSE
JJ Arcega-Whiteside,PHI,23,WR,16,5,0,0,0,0,0,0,0,0,0,0,22,10,169,1,0,FALSE
Duke Williams,BUF,26,WR,4,3,0,0,0,0,0,0,0,0,0,0,19,12,166,1,0,FALSE
DeAndre Carter,HOU,26,WR,16,3,0,0,0,0,0,0,0,0,0,0,14,11,162,0,2,FALSE
Justin Watson,TAM,24,WR,16,2,0,0,0,0,0,0,0,0,0,0,26,15,159,2,0,FALSE
DeSean Jackson,PHI,33,WR,3,3,0,0,0,0,0,0,0,0,0,0,10,9,159,2,0,FALSE
Keelan Doss,OAK,23,WR,8,2,0,0,0,0,0,0,0,0,0,0,14,11,133,0,0,FALSE
Mack Hollins,2TM,26,WR,16,3,0,0,0,0,0,0,0,0,0,0,23,10,125,0,0,FALSE
Deon Cain,2TM,23,WR,13,6,0,0,0,0,0,0,0,0,0,0,20,9,124,0,0,FALSE
Marcell Ateman,OAK,25,WR,11,0,0,0,0,0,0,0,0,0,0,0,10,5,116,0,1,FALSE
Braxton Berrios,NYJ,24,WR,16,0,0,0,0,0,0,0,0,0,0,0,13,6,115,0,1,FALSE
Olamide Zaccheaus,ATL,22,WR,10,0,0,0,0,0,0,0,0,0,0,0,5,3,115,1,0,FALSE
Devin Smith,DAL,27,WR,4,2,0,0,0,0,0,0,0,0,0,0,9,5,113,1,0,FALSE
Brandon Zylstra,CAR,26,WR,8,0,0,0,0,0,0,0,0,0,0,0,12,8,106,0,1,FALSE
Christian Blake,ATL,23,WR,9,3,0,0,0,0,0,0,0,0,0,0,24,11,91,0,0,FALSE
Antonio Callaway,CLE,22,WR,4,2,0,0,0,0,0,0,0,0,0,0,15,8,89,0,0,FALSE
Damion Willis,CIN,22,WR,10,2,0,0,0,0,0,0,0,0,0,0,16,9,82,0,0,FALSE
Trent Sherfield,ARI,23,WR,16,1,0,0,0,0,0,0,0,0,0,0,13,4,80,0,0,FALSE
KhaDarel Hodge,CLE,24,WR,16,1,0,0,0,0,0,0,0,0,0,0,10,4,76,0,0,FALSE
Chad Beebe,MIN,25,WR,3,0,0,0,0,0,0,0,0,0,0,0,2,2,70,0,3,FALSE
Riley Ridley,CHI,23,WR,5,0,0,0,0,0,0,0,0,0,0,0,7,6,69,0,0,FALSE
Chris Hogan,CAR,32,WR,7,1,0,0,0,0,0,0,0,0,0,0,15,8,67,0,0,FALSE
Rico Gafford,OAK,23,WR,4,1,0,0,0,0,0,0,0,0,0,0,2,2,66,1,0,FALSE
Tevin Jones,PIT,27,WR,5,0,0,0,0,0,0,0,0,0,0,0,10,4,61,0,0,FALSE
Chris Lacy,DET,23,WR,7,2,0,0,0,0,0,0,0,0,0,0,10,3,60,0,0,FALSE
Andre Patton,LAC,25,WR,13,5,0,0,0,0,0,0,0,0,0,0,17,6,56,0,0,FALSE
Rashard Higgins,CLE,25,WR,10,1,0,0,0,0,0,0,0,0,0,0,11,4,55,1,0,FALSE
DeAndrew White,CAR,28,WR,10,0,0,0,0,0,0,0,0,0,0,0,9,4,51,0,0,FALSE
Deontay Burnett,PHI,22,WR,1,1,0,0,0,0,0,0,0,0,0,0,4,2,48,0,0,FALSE
Cedrick Wilson,DAL,24,WR,6,0,0,0,0,0,0,0,0,0,0,0,8,5,46,0,0,FALSE
Alexander Hollins,MIN,23,WR,5,1,0,0,0,0,0,0,0,0,0,0,4,2,46,0,0,FALSE
Jason Moore,LAC,24,WR,10,0,0,0,0,0,0,0,0,0,0,0,5,2,43,0,0,FALSE
Geremy Davis,LAC,27,WR,7,1,0,0,0,0,0,0,0,0,0,0,3,3,38,0,0,FALSE
T.J. Jones,NYG,27,WR,3,0,0,0,0,0,0,0,0,0,0,0,4,3,38,1,3,FALSE
Steven Mitchell,HOU,25,WR,3,1,0,0,0,0,0,0,0,0,0,0,6,2,37,0,0,FALSE
JJ Nelson,OAK,27,WR,2,1,0,0,0,0,0,0,0,0,0,0,5,4,36,1,0,FALSE
Bobo Wilson,TAM,24,WR,6,1,0,0,0,0,0,0,0,0,0,0,11,3,35,0,3,FALSE
Ishmael Hyman,TAM,24,WR,2,1,0,0,0,0,0,0,0,0,0,0,4,2,34,0,0,FALSE
Gunner Olszewski,NWE,23,WR,8,0,0,0,0,0,0,0,0,0,0,0,4,2,34,0,1,FALSE
Jordan Matthews,2TM,27,WR,3,1,0,0,0,0,0,0,0,0,0,0,12,4,33,0,0,FALSE
Devin Funchess,IND,25,WR,1,1,0,0,0,0,0,0,0,0,0,0,5,3,32,0,0,FALSE
C.J. Board,JAX,26,WR,4,0,0,0,0,0,0,0,0,0,0,0,4,2,31,0,0,FALSE
Travis Benjamin,LAC,30,WR,5,2,0,0,0,0,0,0,0,0,0,0,16,6,30,0,0,FALSE
Cody Core,NYG,25,WR,16,0,0,0,0,0,0,0,0,0,0,0,5,3,28,0,0,FALSE
Ryan Switzer,PIT,25,WR,9,0,0,0,0,0,0,0,0,0,0,0,11,8,27,0,1,FALSE
Cam Sims,WAS,23,WR,7,1,0,0,0,0,0,0,0,0,0,0,3,2,27,0,0,FALSE
Russell Shepard,NYG,29,WR,3,0,0,0,0,0,0,0,0,0,0,0,8,3,25,0,0,FALSE
Michael Crabtree,ARI,32,WR,2,1,0,0,0,0,0,0,0,0,0,0,5,4,22,0,0,FALSE
Fred Brown,DEN,26,WR,13,1,0,0,0,0,0,0,0,0,0,0,3,2,21,0,1,FALSE
Josh Bellamy,NYJ,30,WR,7,0,0,0,0,0,0,0,0,0,0,0,3,2,20,0,0,FALSE
Donte Moncrief,2TM,26,WR,8,2,0,0,0,0,0,0,0,0,0,0,15,4,18,0,0,FALSE
Stanley Morgan,CIN,23,WR,11,0,0,0,0,0,0,0,0,0,0,0,10,3,18,0,0,FALSE
Robert Davis,2TM,24,WR,6,3,0,0,0,0,0,0,0,0,0,0,5,2,17,0,0,FALSE
Ashton Dulin,IND,22,WR,13,0,0,0,0,0,0,0,0,0,0,0,2,2,17,0,0,FALSE
Darius Jennings,TEN,27,WR,8,0,0,0,0,0,0,0,0,0,0,0,5,2,17,0,0,FALSE
Rashard Davis,TEN,25,WR,1,0,0,0,0,0,0,0,0,0,0,0,1,1,16,0,0,FALSE
Michael Walker,JAX,23,WR,7,0,0,0,0,0,0,0,0,0,0,0,3,2,15,0,2,FALSE
Ventell Bryant,DAL,23,WR,12,0,0,0,0,0,0,0,0,0,0,0,1,1,15,1,0,FALSE
Ryan Grant,OAK,29,WR,2,1,0,0,0,0,0,0,0,0,0,0,9,4,14,0,0,FALSE
Mike Thomas,LAR,25,WR,16,0,0,0,0,0,0,0,0,0,0,0,5,2,14,0,0,FALSE
Cody Hollister,TEN,26,WR,5,0,0,0,0,0,0,0,0,0,0,0,2,2,13,0,0,FALSE
Jeff Smith,NYJ,22,WR,1,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0,0,FALSE
John Ursua,SEA,25,WR,3,0,0,0,0,0,0,0,0,0,0,0,1,1,11,0,0,FALSE
Austin Carr,NOR,26,WR,6,3,0,0,0,0,0,0,0,0,0,0,4,1,9,0,0,FALSE
Dwayne Harris,OAK,32,WR,3,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,FALSE
Jaleel Scott,BAL,24,WR,3,0,0,0,0,0,0,0,0,0,0,0,3,1,6,0,0,FALSE
De'Anthony Thomas,2TM,26,WR,14,0,0,0,0,0,0,0,0,0,0,0,2,1,6,0,3,FALSE
Krishawn Hogan,NOR,24,WR,8,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,FALSE
Cyril Grayson,TAM,26,WR,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,FALSE
Darrius Shepherd,GNB,24,WR,6,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,FALSE
Quincy Enunwa,NYJ,27,WR,1,1,0,0,0,0,0,0,0,0,0,0,3,1,-4,0,1,FALSE
