Player,Tm,Age,Pos,G,GS,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,4QC,GWD,Rush_Att,Rush_Yds,Rush_TD,Tgt,Rec,Rec_Yds,Rec_TD,Fmb,Pro_Bowl
Logan Thomas,WAS,29,TE,16,15,1.0,1.0,28.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,110.0,72.0,670.0,6.0,0.0,False
Travis Kelce,KAN,31,TE,15,15,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,105.0,1416.0,11.0,1.0,True
Evan Engram,NYG,26,TE,16,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,1.0,109.0,63.0,654.0,1.0,1.0,True
Tommy Stevens,CAR,24,TE,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,False
John Lovett,GNB,24,TE,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Trey Burton,IND,29,TE,13,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,47.0,28.0,250.0,3.0,0.0,False
George Kittle,SFO,27,TE,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,63.0,48.0,634.0,2.0,0.0,False
Jonnu Smith,TEN,25,TE,15,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,65.0,41.0,448.0,8.0,0.0,False
Jordan Akins,HOU,28,TE,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,49.0,37.0,403.0,1.0,0.0,False
Blake Bell,DAL,29,TE,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,15.0,11.0,110.0,0.0,0.0,False
Gerald Everett,LAR,26,TE,16,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,62.0,41.0,417.0,1.0,1.0,False
Tyler Higbee,LAR,27,TE,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,60.0,44.0,521.0,5.0,0.0,False
T.J. Hockenson,DET,23,TE,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,101.0,67.0,723.0,6.0,1.0,True
Cole Kmet,CHI,21,TE,16,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,0.0,44.0,28.0,243.0,2.0,1.0,False
Trevon Wesco,NYJ,25,TE,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,False
Darren Waller,LVR,28,TE,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,107.0,1196.0,9.0,2.0,True
Dalton Schultz,DAL,24,TE,16,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,63.0,615.0,4.0,1.0,False
