Player,Tm,Age,Pos,G,GS,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,FQC,GWD,Rush_Att,Rush_Yds,Rush_TD,Tgt,Rec,Rec_Yds,Rec_TD,Fmb,Pro_Bowl
Derrick Henry ,TEN,26,RB,16,16,0,0,0,0,0,0,0,378,2027,17,31,19,114,0,3,FALSE
Dalvin Cook,MIN,25,RB,14,14,0,0,0,0,0,0,0,312,1557,16,54,44,361,1,5,TRUE
Josh Jacobs,LVR,22,RB,15,15,0,0,0,0,0,0,0,273,1065,12,45,33,238,0,2,FALSE
David Montgomery,CHI,23,RB,15,14,0,0,0,0,0,0,0,247,1070,8,68,54,438,2,1,FALSE
Ezekiel Elliott,DAL,25,RB,15,15,0,0,0,0,0,0,0,244,979,6,71,52,338,2,6,TRUE
James Robinson,JAX,22,RB,14,14,0,0,0,0,0,0,0,240,1070,7,60,49,344,3,3,FALSE
Kenyan Drake,ARI,26,RB,15,13,0,0,0,0,0,0,0,239,955,10,31,25,137,0,3,FALSE
Jonathan Taylor,IND,21,RB,15,13,0,0,0,0,0,0,0,232,1169,11,39,36,299,1,1,FALSE
Melvin Gordon,DEN,27,RB,15,10,0,0,0,0,0,0,0,215,986,9,44,32,158,1,4,FALSE
Aaron Jones,GNB,26,RB,14,14,0,0,0,0,0,0,0,201,1104,9,63,47,355,2,2,FALSE
Kareem Hunt,CLE,25,RB,16,5,0,0,0,0,0,0,0,198,841,6,51,38,304,5,2,FALSE
Todd Gurley,ATL,26,RB,15,15,0,0,0,0,0,0,0,195,678,9,35,25,164,0,2,FALSE
Ronald Jones II,TAM,23,RB,14,13,0,0,0,0,0,0,0,192,978,7,42,28,165,1,2,FALSE
Nick Chubb,CLE,25,RB,12,12,0,0,0,0,0,0,0,190,1067,12,18,16,150,0,1,TRUE
Frank Gore,NYJ,37,RB,15,14,0,0,0,0,0,0,0,187,653,2,19,16,89,0,1,FALSE
Alvin Kamara,NOR,25,RB,15,10,0,0,0,0,0,0,0,187,932,16,107,83,756,5,1,TRUE
Clyde Edwards-Helaire,KAN,21,RB,13,13,0,0,0,0,0,0,0,181,803,4,54,36,297,1,0,FALSE
Antonio Gibson,WAS,22,RB,14,10,0,0,0,0,0,0,0,170,795,11,44,36,247,0,1,FALSE
James Conner,PIT,25,RB,13,11,0,0,0,0,0,0,0,169,721,6,43,35,215,0,2,FALSE
Mike Davis,CAR,27,RB,15,12,0,0,0,0,0,0,0,165,642,6,70,59,373,2,1,FALSE
Miles Sanders,PHI,23,RB,12,11,0,0,0,0,0,0,0,164,867,6,52,28,197,0,4,FALSE
Adrian Peterson,DET,35,RB,16,10,0,0,0,0,0,0,0,156,604,7,18,12,101,0,0,FALSE
