Player,Tm,Age,Pos,G,GS,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,FQC,GWD,Rush_Att,Rush_Yds,Rush_TD,Tgt,Rec,Rec_Yds,Rec_TD,Fmb,Pro_Bowl
Devin Singletary,BUF,23,RB,16,16,0,0,0,0,0,0,0,156,687,2,50,38,269,0,1,FALSE
Wayne Gallman,NYG,26,RB,15,10,0,0,0,0,0,0,0,147,682,6,27,21,114,0,1,FALSE
David Johnson,HOU,29,RB,12,12,0,0,0,0,0,0,0,147,691,6,46,33,314,2,2,FALSE
Latavius Murray,NOR,30,RB,15,7,0,0,0,0,0,0,0,146,656,4,26,23,176,1,1,FALSE
Cam Akers,LAR,21,RB,13,5,0,0,0,0,0,0,0,145,625,2,14,11,123,1,1,FALSE
Gus Edwards,BAL,25,RB,16,6,0,0,0,0,0,0,0,144,723,6,13,9,129,0,1,FALSE
Myles Gaskin,MIA,23,RB,10,7,0,0,0,0,0,0,0,142,584,3,47,41,388,2,2,FALSE
Chris Carson,SEA,26,RB,12,12,0,0,0,0,0,0,0,141,681,5,46,37,287,4,1,FALSE
Darrell Henderson,LAR,23,RB,15,11,0,0,0,0,0,0,0,138,624,5,24,16,159,1,0,FALSE
Damien Harris,NWE,23,RB,10,10,0,0,0,0,0,0,0,137,691,2,7,5,52,0,1,FALSE
J.K. Dobbins,BAL,22,RB,15,1,0,0,0,0,0,0,0,134,805,9,24,18,120,0,2,FALSE
Jeff Wilson,SFO,25,RB,12,3,0,0,0,0,0,0,0,126,600,7,28,13,133,3,2,FALSE
Giovani Bernard,CIN,29,RB,16,10,0,0,0,0,0,0,0,124,416,3,59,47,355,3,1,FALSE
Joe Mixon,CIN,24,RB,6,6,0,0,0,0,0,0,0,119,428,3,26,21,138,1,1,FALSE
Jamaal Williams,GNB,25,RB,14,3,0,0,0,0,0,0,0,119,505,2,35,31,236,1,0,FALSE
Phillip Lindsay,DEN,26,RB,11,8,0,0,0,0,0,0,0,118,502,1,14,7,28,0,0,FALSE
Austin Ekeler,LAC,25,RB,10,10,0,0,0,0,0,0,0,116,530,1,65,54,403,2,1,FALSE
D'Andre Swift,DET,21,RB,13,4,0,0,0,0,0,0,0,114,521,8,57,46,357,2,3,FALSE
Zack Moss,BUF,23,RB,13,0,0,0,0,0,0,0,0,112,481,4,18,14,95,1,0,FALSE
Joshua Kelley,LAC,23,RB,14,0,0,0,0,0,0,0,0,111,354,2,23,23,148,0,2,FALSE
Benny Snell Jr.,PIT,22,RB,16,3,0,0,0,0,0,0,0,111,368,4,14,10,61,0,2,FALSE
Raheem Mostert,SFO,28,RB,8,8,0,0,0,0,0,0,0,104,521,2,19,16,156,1,1,FALSE
Malcolm Brown,LAR,27,RB,16,0,0,0,0,0,0,0,0,101,419,5,33,23,162,0,1,FALSE
Tony Pollard,DAL,23,RB,16,2,0,0,0,0,0,0,0,101,435,4,40,28,193,1,0,FALSE
Brian Hill,ATL,25,RB,16,1,0,0,0,0,0,0,0,100,465,1,30,25,199,0,2,FALSE
Chase Edmonds,ARI,24,RB,16,2,0,0,0,0,0,0,0,97,448,1,67,53,402,4,2,FALSE
Leonard Fournette,TAM,25,RB,13,3,0,0,0,0,0,0,0,97,367,6,47,36,233,0,0,FALSE
Alexander Mattison,MIN,22,RB,13,2,0,0,0,0,0,0,0,96,434,2,15,13,125,1,0,FALSE
Peyton Barber,WAS,26,RB,16,2,0,0,0,0,0,0,0,94,258,4,7,4,12,0,0,FALSE
Devontae Booker,LVR,28,RB,16,1,0,0,0,0,0,0,0,93,423,3,21,17,84,0,1,FALSE
Kalen Ballage,2TM,25,RB,11,2,0,0,0,0,0,0,0,91,303,3,37,29,166,0,1,FALSE
Nyheim Hines,IND,24,RB,16,2,0,0,0,0,0,0,0,89,380,3,76,63,482,4,0,FALSE
J.D. McKissic,WAS,27,RB,16,7,0,0,0,0,0,0,0,85,365,1,110,80,589,2,3,FALSE
Jordan Wilkins,IND,26,RB,15,0,0,0,0,0,0,0,0,84,308,1,16,12,105,0,0,FALSE
Le'Veon Bell,2TM,28,RB,11,4,0,0,0,0,0,0,0,82,328,2,20,16,138,0,1,FALSE
Carlos Hyde,SEA,30,RB,10,1,0,0,0,0,0,0,0,81,356,4,20,16,93,0,1,FALSE
Jerick McKinnon,SFO,28,RB,16,4,0,0,0,0,0,0,0,81,319,5,46,33,253,1,0,FALSE
Boston Scott,PHI,25,RB,16,4,0,0,0,0,0,0,0,80,374,1,36,25,212,1,2,FALSE
Sony Michel,NWE,25,RB,9,6,0,0,0,0,0,0,0,79,449,1,9,7,114,1,0,FALSE
Duke Johnson,HOU,27,RB,11,5,0,0,0,0,0,0,0,77,235,1,35,28,249,1,3,FALSE
Salvon Ahmed,MIA,22,RB,6,4,0,0,0,0,0,0,0,75,319,3,14,11,61,0,0,FALSE
Mark Ingram,BAL,31,RB,11,9,0,0,0,0,0,0,0,72,299,2,8,6,50,0,0,TRUE
Rex Burkhead,NWE,30,RB,10,0,0,0,0,0,0,0,0,67,274,3,33,25,192,3,0,FALSE
La'Mical Perine,NYJ,22,RB,10,0,0,0,0,0,0,0,0,64,232,2,15,11,63,0,0,FALSE
Samaje Perine,CIN,25,RB,16,1,0,0,0,0,0,0,0,63,301,3,12,11,66,0,0,FALSE
Ito Smith,ATL,25,RB,14,0,0,0,0,0,0,0,0,63,268,1,26,17,75,0,1,FALSE
Matt Breida,MIA,25,RB,12,1,0,0,0,0,0,0,0,59,254,0,10,9,96,0,2,FALSE
Justin Jackson,LAC,24,RB,9,4,0,0,0,0,0,0,0,59,270,0,24,19,173,0,0,FALSE
Christian McCaffrey,CAR,24,RB,3,3,0,0,0,0,0,0,0,59,225,5,19,17,149,1,0,TRUE
Alfred Morris,NYG,32,RB,9,0,0,0,0,0,0,0,0,55,238,1,4,3,19,1,0,FALSE
Devonta Freeman,NYG,28,RB,5,4,0,0,0,0,0,0,0,54,172,1,10,7,58,0,0,FALSE
Ty Johnson,2TM,23,RB,13,1,0,0,0,0,0,0,0,54,254,1,21,16,99,1,0,FALSE
Kerryon Johnson,DET,23,RB,16,2,0,0,0,0,0,0,0,52,181,2,26,19,187,1,1,FALSE
Jeremy McNichols,TEN,25,RB,16,0,0,0,0,0,0,0,0,47,204,1,17,12,55,0,0,FALSE
AJ Dillon,GNB,22,RB,11,0,0,0,0,0,0,0,0,46,242,2,2,2,21,0,0,FALSE
Rodney Smith,CAR,24,RB,7,1,0,0,0,0,0,0,0,41,156,1,11,9,59,0,1,FALSE
Jamycal Hasty,SFO,24,RB,8,0,0,0,0,0,0,0,0,39,148,1,8,7,33,0,1,FALSE
Darrel Williams,KAN,25,RB,16,0,0,0,0,0,0,0,0,39,169,1,26,18,116,0,0,FALSE
Royce Freeman,DEN,24,RB,16,0,0,0,0,0,0,0,0,35,170,0,13,12,81,0,0,FALSE
Jordan Howard,2TM,26,RB,7,4,0,0,0,0,0,0,0,35,60,4,1,1,-3,0,1,FALSE
James White,NWE,28,RB,14,0,0,0,0,0,0,0,0,35,121,2,62,49,375,1,1,FALSE
DeeJay Dallas,SEA,22,RB,12,2,0,0,0,0,0,0,0,34,108,2,20,17,111,1,0,FALSE
D'Ernest Johnson,CLE,24,RB,16,0,0,0,0,0,0,0,0,33,166,0,4,3,14,0,1,FALSE
Anthony McFarland Jr.,PIT,21,RB,11,0,0,0,0,0,0,0,0,33,113,0,9,6,54,0,0,FALSE
Dare Ogunbowale,JAX,26,RB,14,2,0,0,0,0,0,0,0,32,145,0,20,10,54,0,0,FALSE
DeAndre Washington,2TM,27,RB,4,1,0,0,0,0,0,0,0,31,91,0,10,5,30,0,0,FALSE
Josh Adams,NYJ,24,RB,8,0,0,0,0,0,0,0,0,29,157,2,8,6,29,0,0,FALSE
Dion Lewis,NYG,30,RB,16,0,0,0,0,0,0,0,0,29,115,2,30,19,127,1,3,FALSE
Tevin Coleman,SFO,27,RB,8,1,0,0,0,0,0,0,0,28,53,0,5,4,34,0,0,FALSE
Darwin Thompson,KAN,23,RB,14,1,0,0,0,0,0,0,0,27,97,1,11,7,65,1,0,FALSE
Ke'Shawn Vaughn,TAM,23,RB,10,0,0,0,0,0,0,0,0,26,109,0,10,5,34,1,1,FALSE
Trayveon Williams,CIN,23,RB,10,0,0,0,0,0,0,0,0,26,157,0,5,5,30,0,1,FALSE
Travis Homer,SEA,22,RB,9,0,0,0,0,0,0,0,0,25,88,0,10,9,90,1,0,FALSE
J.J. Taylor,NWE,22,RB,6,0,0,0,0,0,0,0,0,23,110,0,2,1,4,0,0,FALSE
D'Onta Foreman,TEN,24,RB,6,0,0,0,0,0,0,0,0,22,95,0,1,1,5,1,0,FALSE
Jalen Richard,LVR,27,RB,13,0,0,0,0,0,0,0,0,22,123,1,23,19,138,0,1,FALSE
Corey Clement,PHI,26,RB,15,0,0,0,0,0,0,0,0,21,75,1,6,5,25,0,0,FALSE
Saquon Barkley,NYG,23,RB,2,2,0,0,0,0,0,0,0,19,34,0,9,6,60,0,0,FALSE
Ty Montgomery,NOR,27,RB,6,1,0,0,0,0,0,0,0,19,101,0,6,3,27,0,0,FALSE
Alex Collins,SEA,26,RB,3,1,0,0,0,0,0,0,0,18,77,2,2,1,4,0,0,FALSE
Buddy Howell,HOU,24,RB,14,0,0,0,0,0,0,0,0,16,64,0,2,1,3,0,0,FALSE
Troymaine Pope,LAC,27,RB,6,0,0,0,0,0,0,0,0,15,76,0,10,8,42,0,0,FALSE
Tarik Cohen,CHI,25,RB,3,0,0,0,0,0,0,0,0,14,74,0,9,6,41,0,0,FALSE
Darrynton Evans,TEN,22,RB,5,0,0,0,0,0,0,0,0,14,54,0,4,2,27,1,0,FALSE
Tyler Ervin,GNB,27,RB,8,0,0,0,0,0,0,0,0,13,67,0,15,11,84,0,0,FALSE
Patrick Laird,MIA,25,RB,16,0,0,0,0,0,0,0,0,13,72,0,12,10,68,0,1,FALSE
Reggie Bonnafon,CAR,24,RB,2,0,0,0,0,0,0,0,0,12,69,0,2,2,18,1,0,FALSE
Justice Hill,BAL,23,RB,12,0,0,0,0,0,0,0,0,12,60,0,5,5,20,0,0,FALSE
Antonio Williams,BUF,23,RB,1,0,0,0,0,0,0,0,0,12,63,2,1,1,20,0,0,FALSE
Mike Boone,MIN,25,RB,16,0,0,0,0,0,0,0,0,11,59,1,2,2,10,0,0,FALSE
Rashaad Penny,SEA,24,RB,3,0,0,0,0,0,0,0,0,11,34,0,0,0,0,0,0,FALSE
Trenton Cannon,CAR,26,RB,14,0,0,0,0,0,0,0,0,10,33,0,3,3,16,0,0,FALSE
LeSean McCoy,TAM,32,RB,10,0,0,0,0,0,0,0,0,10,31,0,19,15,101,0,0,FALSE
C.J. Prosise,HOU,26,RB,10,0,0,0,0,0,0,0,0,10,19,0,5,5,18,1,1,FALSE
T.J. Yeldon,BUF,27,RB,3,0,0,0,0,0,0,0,0,10,70,0,4,1,22,1,1,FALSE
Dontrell Hilliard,2TM,25,RB,7,0,0,0,0,0,0,0,0,9,48,0,1,1,2,0,0,FALSE
Jaylen Samuels,PIT,24,RB,14,1,0,0,0,0,0,0,0,9,28,0,14,9,46,0,0,FALSE
Ameer Abdullah,MIN,27,RB,16,0,0,0,0,0,0,0,0,8,42,0,9,8,58,2,0,FALSE
Dwayne Washington,NOR,26,RB,11,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,0,FALSE
Rico Dowdle,DAL,22,RB,15,0,0,0,0,0,0,0,0,7,24,0,0,0,0,0,0,FALSE
Chris Thompson,JAX,30,RB,8,0,0,0,0,0,0,0,0,7,20,0,23,20,146,1,0,FALSE
Elijhaa Penny,NYG,27,RB,14,0,0,0,0,0,0,0,0,6,15,0,3,2,20,0,0,FALSE
Artavis Pierce,CHI,24,RB,5,0,0,0,0,0,0,0,0,6,34,1,0,0,0,0,0,FALSE
Theo Riddick,LVR,29,RB,4,0,0,0,0,0,0,0,0,6,14,0,6,5,43,0,0,FALSE
Bo Scarbrough,SEA,26,RB,1,0,0,0,0,0,0,0,0,6,31,0,0,0,0,0,0,FALSE
Jason Huntley,PHI,22,RB,5,0,0,0,0,0,0,0,0,5,19,0,2,1,0,0,0,FALSE
LeVante Bellamy,DEN,24,RB,5,0,0,0,0,0,0,0,0,4,11,0,1,1,5,0,0,FALSE
Marlon Mack,IND,24,RB,1,1,0,0,0,0,0,0,0,4,26,0,3,3,30,0,0,FALSE
Tony Brooks-James,ATL,26,RB,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,FALSE
Tony Jones,NOR,23,RB,1,1,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,FALSE
Ryan Nall,CHI,25,RB,16,0,0,0,0,0,0,0,0,3,0,0,9,8,67,1,0,FALSE
D.J. Foster,ARI,27,RB,10,0,0,0,0,0,0,0,0,2,2,0,1,1,7,0,0,FALSE
Senorise Perry,TEN,29,RB,7,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,FALSE
Scottie Phillips,HOU,23,RB,8,0,0,0,0,0,0,0,0,2,9,0,1,1,7,0,0,FALSE
Dexter Williams,GNB,23,RB,3,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,FALSE
Adrian Killins,PHI,22,RB,1,0,0,0,0,0,0,0,0,1,-12,0,1,1,2,0,0,FALSE
Qadree Ollison,ATL,24,RB,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,FALSE
Devine Ozigbo,JAX,24,RB,8,0,0,0,0,0,0,0,0,1,1,0,9,9,42,0,0,FALSE
Craig Reynolds,JAX,24,RB,2,0,0,0,0,0,0,0,0,1,4,0,1,1,3,0,0,FALSE
Austin Walter,SFO,24,RB,4,0,0,0,0,0,0,0,0,1,3,0,1,1,27,0,0,FALSE
Jonathan Williams,DET,26,RB,5,0,0,0,0,0,0,0,0,1,5,0,4,4,21,0,1,FALSE
Lamar Miller,CHI,29,RB,1,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,0,FALSE
Jonathan Ward,ARI,23,RB,14,0,0,0,0,0,0,0,0,0,0,0,1,1,11,1,0,FALSE
